,zona,quartos,area,preco
10,sul,6,575,18000
11,sul,,157,11000
12,sul,2,75,4000
13,sul,3,360,18000
14,sul,4,360,9760
15,sul,3,170,5000
16,sul,4,380,6000
17,sul,5,180,4500
18,sul,,70,4000
19,sul,,200,5500
20,sul,8,490,10000
21,sul,3,150,3900
22,sul,3,100,2500
23,sul,,130,3800
24,sul,3,116,2300
25,sul,2,80,1900
26,sul,4,201,3990
27,sul,1,45,1200
28,sul,,250,3000
29,sul,3,113,3000
30,sul,,500,6000
31,sul,5,230,12000
32,sul,3,233,4000
33,sul,3,140,4600
34,sul,6,900,15000
35,sul,1,260,10000
36,sul,4,120,5500
37,sul,4,450,25000
38,sul,2,200,2800
39,sul,,280,3500
40,sul,,980,35000
41,sul,3,180,2800
42,sul,3,160,3000
43,sul,2,100,2800
44,sul,3,190,3500
45,sul,5,434,50000
46,sul,4,526,7000
47,sul,3,184,7000
0,sul,3,160,3701
1,sul,3,200,3500
2,sul,3,200,4000
3,sul,,200,11000
4,sul,,100,16000
5,sul,,325,9500
6,sul,,271,11000
7,sul,4,300,4000
8,sul,,120,3800
9,sul,4,450,16000
10,sul,3,150,3200
11,sul,1,8600,250000
12,sul,3,210,3500
13,sul,3,300,7000
14,sul,4,200,3000
15,sul,3,600,25000
16,sul,,200,10500
17,sul,4,280,6000
18,sul,10,555,23000
19,sul,,150,7000
20,sul,4,300,8000
21,sul,,600,20000
22,sul,1,48,800
23,sul,,490,16000
24,sul,4,121,6000
25,sul,3,100,2700
26,sul,4,400,3500
27,sul,3,180,3500
28,sul,4,250,4500
29,sul,3,500,5000
30,sul,4,839,14500
31,sul,4,610,12000
32,sul,4,200,10000
33,sul,4,480,2100000
34,sul,,300,13990
35,sul,5,739,20000
